שם	הלואה מהגמח - הגבלות	הלוואה מהגמח - מטרות	הלואה מהגמח - ביצוע	הלואה מהגמח - סכומים	הלואה מהגמח - ערבים	הלואה מהגמח - החזר
אהבת חסד			יש לבוא לישיבת "מיר" בשכונת "בית ישראל", בין 12:45 ל13:15; הלווה נותן המחאות על סכום ההחזרים, שייפרעו אם הוא לא יבוא להחזיר בזמן	2000 דולר	2; אחד מהם תלמיד בישיבת מיר והשני מוכר למנהל הגמח	תשלום אחד אחרי 6 חודשים, או 12 תשלומים חודשיים
בית הכנסת יבנה	בעיקר למתפללי בית-הכנסת יבנה ברעננה		יש לבוא למנהל הגמ"ח ולהביא את ההמחאות הדחויות עבור ההחזר	לאנשים שאינם מבית-הכנסת - 1000 ש"ח	1 מבית-הכנסת	100 ש"ח בחודש, ועוד 100 ש"ח החזר הוצאות הפקדה
בני ברק						
ברכת ה'	בעיקר לתושבי הגליל התחתון		יש לתת המחאה (או כמה המחאות) כעירבון	1000 ש"ח	0	תוך שנה
האגודה הישראלית להלוואות ללא רבית	לבעלי הכנסה סדירה בלבד (משכורת / קצבה)	13 מטרות שונות המפורטות בדף פרסומי	יש לבוא למשרד	1000 עד 25000 דולר	2 שעובדים	
העיר העתיקה		לצרכים בסיסיים. לא למותרות (נסיעה לחול, רכב וכו').	בקשות מתקבלות בכל יום שלישי אחה"צ. דרוש פירוט הבקשה, חומר רקע של המבקש, ת"ז ותלושי משכורת של הלווה והערבים	500 עד 10000 דולר	2	
העיר העתיקה סניף מודיעין	הוכחת יכולת החזר חודשית, נועד לתושבי מודיעין ויישובי הסביבה		טופס ribit0_nr_lmrdky.gif	עד 10000 ש"ח	1	
הר ברכה	לתושבי היישוב הר ברכה בלבד					
ותומכיה מאושר			?			
זכרון פינחס	כרגע יש תור ארוך					
חסדי יעקב			אין			
ישיבת גיל						
ישיבת מיר	לתלמידי ישיבת מיר בלבד					
כולל שומרי החומות	לכל יהודי שומר תורה ומצוות	כל מטרה	יש למלא טופס ולפרט את הצורך	3000 דולר	3 שלומדים בכולל או נתמכים על-ידי הכולל	
לזכר איזיק פליישמן	לתושבי רמת בית-שמש בלבד (אין מספיק כסף לכולם)			1000 עד 2000 דולר		תוך 6 חודשים
מכללת ירושלים	לתלמידות מכללת ירושלים					
מרכזי ביתר עילית	לתושבי ביתר-עילית בלבד	ברית-מילה; בר-מצוה; חתונה; בניה; צרכים מוצדקים נוספים		עד 5000 דולר	3	
נציב אשר	בעיקר לתושבי הר נוף			2800 ש"ח	2 שמנהלי הגמח מכירים	עד 4 תשלומים חודשיים
נר למרדכי	לתושבי מודיעין	קשיים כלכליים זמניים;  אירועים משפחתיים		עד 5000 ש"ח	2; עם תלוש משכורת ותעודת זהות	
פעמונים	רק במסגרת טיפול כוללני בבעיות הכלכליות של המשפחה	פתרון קשיים כלכליים וכיסוי חובות העבר - במסגרת טיפול כולל	יש להתקשר ולבקש טפסים, ואז למלא את הטפסים בפירוט ולחכות לדיון בבקשה	כמה שצריך	2 (במקרים מיוחדים ניתן להקל)	לפי היכולת
צור			יש לחתום על שטר ערבות בדואר, ולתת המחאה כעירבון		2	99% מההלוואות חוזרות
קהילתי רחובות	לתושבי רחובות					
קרן איתן						
קרן יחיאל ושרון		סטודנטים; זוגות צעירים; כיסוי משיכת-יתר; ועוד	יש למלא טפסים, להביא שטרי-ערבות, ולתת 10 המחאות כעירבון	עד 5000 ש"ח	2	10 תשלומים חודשיים
ר' עקיבא ורחל רוחליץ	לתושבי בית-וגן וכפר הרואה (גם לשאר חלקי ירושלים).	דרוש מילוי טופס וכן אישור של 4 מחברי ועד הקרן	ממלאים טופס אצל מאיר קוסיצקי, הפסגה 43		2	
שובי שובי השולמית	לתושבי יהודה ושומרון בלבד					
שלום ורעות	לתושבי שכונת רמות בלבד		ההלוואה וההחזר במזומן בלבד; יש לתת המחאה כעירבון	200 דולר או 1000 ש"ח	2	4 תשלומים חודשיים
שערי חסד			יש להביא ת"ז, תלוש משכורת ושני ערבים	מ 1000 ש"ח ועד 5000 דולר	2	
תפארת יוסף ומרים				300 דולר	2 שמנהל הגמח מכיר	תוך 3 חודשים, תשלום אחד
