"מספר בספר החינוך","תת-מספר","שם","קבוצה","סוג (עשה/לא תעשה)","החייבים במצוה","תדירות","רצון","ארוע","עצם או אדם","זמן החיוב","מקום החיוב","העונש למפר במזיד","העונש למפר בשוגג","המקור ביד החזקה - הלכות","המקור ביד החזקה - מספר המצוה","הערות","טעמי המצוה"
1,0,"מצוות פרו ורבו","פריה ורביה",1,"גבר מבני נוח","ארוע",,"פעם בחיים",,"בכל זמן","בכל מקום","אין","אין","אישות","4",,"כדי שיהיה העולם מיושב שה' חפץ בישובו"
2,0,"מצוות מילה","מילה",1,"גבר מישראל","ארוע",,"פעם בחיים","איברי הרביה","בכל זמן","בכל מקום","כרת","אין","מילה","1",,"הקב""ה רצה להבדיל את העם הנבחר ע""י אות בגופו. ושהשלמות הסופית  תהיה ע""י האדם"
3,0,"לא לאכול את גיד הנשה","אכילת בשר",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","183",,"רמז לישראל שלמרות צרות הגלות לא יאבדו ויבא להם גואל ויגאלם"
4,0,"מצוות קידוש החודש ועיבור השנה","תאריכים",1,"ציבור","זמן",,"חודש",,"בכל זמן","בכל מקום","אין","אין","קידוש החודש","153",,"כדי שיעשו ישראל מועדי ה' בזמנם. ואילולי עיבור השנה לא יהיה הפסח באביב והסוכות באסיף וכו'"
5,0,"מצוות שחיטת הפסח","שחיטת קרבן הפסח",1,"אדם מישראל","זמן",,"חג פסח",,"רק כשהמקדש קיים","רק בארץ ישראל","כרת","אין","קרבן פסח","55",,"כדי שיזכרו ישראל הניסים שעשה להם ה' ביציאת מצרים"
6,0,"מצוות אכילת בשר הפסח","אכילת בשר הפסח",1,"אדם מישראל","זמן",,"חג פסח","בשר קודש","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","קרבן פסח","56",,"כדי לזכור את הניסים שעשה ה' ביציאת מצרים"
7,0,"לא לאכול הפסח נא ומבושל","אכילת בשר הפסח",0,"אדם מישראל","זמן","אכילה","חג פסח","בשר קודש","בכל זמן","בכל מקום","מלקות","אין","קרבן פסח","125",,"זכר ליציאת מצרים וכן מאכל הצלי-מאכל מלכים המזכיר את החרות שביציאת מצרים"
8,0,"לא להותיר מבשר הפסח","אכילת בשר הפסח",0,"אדם מישראל","זמן",,"חג פסח","בשר קודש","בכל זמן","בכל מקום","מלקות","אין","קרבן פסח","117",,"אוכל כדרך המלכים שאינם מתירים ממאכלם מיום ליום"
9,0,"מצוות השבתת החמץ","ראיית חמץ",1,"אדם מישראל","זמן",,"חג פסח","לחם","בכל זמן","בכל מקום","אין","אין","חמץ ומצה","156",,"לזכור את ניסי יציאת מצרים"
10,0,"מצוות אכילת מצה","אכילת מצה",1,"אדם מישראל","זמן",,"חג פסח","לחם","בכל זמן","בכל מקום","אין","אין","חמץ ומצה","158",,"לזכור את יציאת מצרים"
11,0,"לא יימצא חמץ ברשותנו בפסח","ראיית חמץ",0,"אדם מישראל","זמן",,"חג פסח","לחם","בכל זמן","בכל מקום","מלקות","אין","חמץ ומצה","201",,"לזכור את יציאת מצרים ולזכור שארע לנו הנס מתוך חיפזון"
12,0,"לא לאכול מכל דבר שיש בו חמץ","אכילת חמץ",0,"אדם מישראל","זמן","אכילה","חג פסח","לחם","בכל זמן","בכל מקום","מלקות","אין","חמץ ומצה","198",,"לזכור שיציאת מצרים נעשתה בחיפזון וכדי לחזק הדבר בליבנו הרחיקתנו התורה ממנו כל כך"
13,0,"לא נאכיל מן הפסח לישראל משומד","אכילת בשר הפסח לנכרי",0,"אדם מישראל","זמן","אכילה","חג פסח","בשר קודש","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","קרבן פסח","128",,"להזכיר נס יציאת מצרים שבו חסינו תחת כנפי השכינה ועל כן ראוי שלא יאכל ממנו משומד שכפר באמונה"
14,0,"לא נאכיל מן הפסח לתושב ולשכיר","אכילת בשר הפסח לתושב",0,"אדם מישראל","זמן","אכילה","חג פסח","בשר קודש","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","קרבן פסח","126",,"להזכיר נס יציאת מצרים ובואנו בברית השכינה וראוי שיהנו ממנו רק אלו שהשלימו באמונה"
15,0,"לא להוציא בשר הפסח חוצה","אכילת בשר הפסח",0,"אדם מישראל","זמן",,"חג פסח","בשר קודש","רק כשהמקדש קיים","רק בארץ ישראל","מלקות","אין","קרבן פסח","123",,"להזכיר נס יציאת מצרים שנאכל כדרך מלכים האוכלים בהיכלם שלהם"
16,0,"לא לשבור עצם מן הפסח","אכילת בשר הפסח",0,"אדם מישראל","זמן",,"חג פסח","בשר קודש","רק כשהמקדש קיים","רק בארץ ישראל","מלקות","אין","קרבן פסח","121",,"להזכיר נס יציאת מצרים שנאכל כדרך מלכים שאין דרכם לגרר עצמות ולשוברם ככלבים"
17,0,"לא יאכל ערל מן הפסח","אכילת בשר הפסח לערל",0,"אדם מישראל","זמן","אכילה","חג פסח","בשר קודש","רק כשהמקדש קיים","בכל מקום","מלקות","אין","קרבן פסח","127",,"להזכיר נס יציאת מצרים בבואנו תחת כנפי  השכינה ואין נכון שערל יאכל ממנו"
18,0,"מצוות קידוש בכורות - בהמה טהורה וחמור","בכור בהמה",1,"גבר מישראל","ארוע",,"לידת בכור","חיות","בכל זמן","רק בארץ ישראל","אין","אין","בכורות","79",,"רצה ה' לזכות אותנו לעשות מצוה מראשית פרי בטננו ולהקדישו לה' וכן לזכור הנס הגדול במכת בכורי מצרים"
19,0,"לא לאכול חמץ בפסח והן חמישה מיני דגן","אכילת חמץ",0,"אדם מישראל","זמן","אכילה","חג פסח","לחם","בכל זמן","בכל מקום","כרת","חטאת קבועה","חמץ ומצה","197",,"לזכור יציאת מצרים"
20,0,"לא יראה לנו חמץ בפסח","ראיית חמץ",0,"אדם מישראל","זמן",,"חג פסח","לחם","בכל זמן","בכל מקום","מלקות","אין","חמץ ומצה","200",,"לזכור יציאת מצרים"
21,0,"מצוות סיפור יציאת מצרים","סיפור יציאת מצרים",1,"אדם מישראל","זמן",,"חג פסח",,"בכל זמן","בכל מקום","אין","אין","חמץ ומצה","157",,"לזכור נס יציאת מצרים ואל יתמה שישנן הרבה מצוות לכך שהוא יסוד חשוב באמונתנו ושינה טבעי עולם בשבילו"
22,0,"מצוות פדיון פטר חמור","בכור חמור",1,"אדם מישראל","ארוע",,"לידת בכור","חיות","בכל זמן","בכל מקום","אין","אין","ביכורים","81",,"שיזכרו היהודים הנס שנעשה להם שהרג את בכוריהם שנמשלו לחמורים"
23,0,"מצוות עריפת פטר חמור אם לא רצה לפדותו","בכור חמור",1,"אדם מישראל","ארוע",,"לידת בכור","חיות","בכל זמן","בכל מקום","אין","אין","ביכורים","82",,"לזכור מכת בכורות מצרים שנמשלו לחמורים"
24,0,"לא נלך בשבת חוץ לתחום","תחום שבת",0,"אדם מישראל","זמן","תנועה","שבת",,"בכל זמן","בכל מקום","מלקות","מכת מרדות","שבת","321",,"לזכור שהעולם מחודש ולא קדמון וזאת נזכור ע""י מנוחה במקום אחד"
25,0,"מצוות האמונה במציאות ה'","מציאות ה'",1,"אדם מישראל","רגע",,,,"בכל זמן","בכל מקום","אין","אין","יסודי התורה","1",,"האמונה היא יסוד הדת ומי שלא מאמין כופר בעיקר ואין לו חלק בעמ""י"
26,0,"לא נאמין באלוה בלתי ה' לבדו","פניה אחר אלילים",0,"אדם מישראל","רגע","מחשבה",,"אלילים","בכל זמן","בכל מקום","סקילה","חטאת קבועה","יסודי התורה","1",,"אמונה בה' שהוא אחד"
27,0,"לא לעשות אלילים עבור עצמו, אפילו ביד אחרים","עשיית אליל",0,"אדם מבני נוח","רצון","יצירה",,"אלילים","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","2",,"להרחיק עבודה זרה"
28,0,"לא להשתחוות לעבודה זרה","השתחויה לאלילים",0,"אדם מבני נוח","רצון","השתחויה",,"אלילים","בכל זמן","בכל מקום","כרת","חטאת קבועה","עבודת כוכבים","5",,"להרחיק עבודה זרה"
29,0,"לא לעבוד עבודה זרה בדרך שנהוג לעבדה","עבודת אלילים",0,"אדם מבני נוח","עצם",,,"אלילים","בכל זמן","בכל מקום","סקילה","חטאת קבועה","עבודת כוכבים","6",,"להרחיק מעבודה זרה"
30,0,"לא להישבע לשווא","שבועת אמת",0,"אדם מישראל","רצון","שבועה",,,"בכל זמן","בכל מקום","מלקות","אין","שבועות","240",,"לזכור כל הזמן   גדולתו של הקב""ה ולזוכרו באימה וביראה"
31,0,"מצוות קידוש שבת בדברים","קידוש השבת",1,"אדם מישראל","זמן",,"שבת",,"בכל זמן","בכל מקום","אין","אין","שבת","155",,"שנתעורר לזכור גדולת היום ונקבע בליבנו אמונה בחידוש העולם"
32,0,"לא לעשות מלאכה בשבת","שביתה בשבת",0,"אדם מישראל","זמן","מלאכה","שבת",,"בכל זמן","בכל מקום","סקילה","חטאת קבועה","שבת","320",,"שנהיה פנויים מעסוקנו לכבוד היום ובמנוחתנו בשביעי נזכור חידוש העולם"
