 תולדות יעקב בן יצחק (יוסף, יהודה ואחיהם)	בראשית לז1	פרשה_בתנך	prqim/t0137.htm#1
5 מגילות	מגילות	ספר	tnk1/prqim/ktuv_mgilot.html
א	אות	לשון_המקרא	tnk1/ljon/jorj/a.html
א-להי ישראל	ביטוי: שם1	לשון_המקרא	tnk1/ljon/jorj/alh.html#bituy
א=ה	רבשורש	לשון_המקרא	tnk1/ljon/jorj/a=h.html
א=י	רבשורש	לשון_המקרא	tnk1/ljon/jorj/a=y.html
אֵב	זמן	לשון_המקרא	tnk1/ljon/jorj/abb.html
אָב	אדם קרוב	לשון_המקרא	tnk1/ljon/jorj/abh2.html
אבב	שורש [= ענינו הבשלת התבואה]	לשון_המקרא	tnk1/ljon/jorj/abb.html
אבגתא	גבר	דמות_מהתנך	tnk1/dmut/dmut/1409.html
אֹבֵד	מופשט	לשון_המקרא	tnk1/ljon/jorj/abd.html
אבדה	שם מתואר [= דבר האובד]	לשון_המקרא	tnk1/ljon/jorj/abd.html
אבדון	מקום [= נרדף לשאול וקבר]	לשון_המקרא	tnk1/ljon/jorj/abd.html
אַבדן	מופשט	לשון_המקרא	tnk1/ljon/jorj/abd.html
אבה	שורש [עם כמה משמעויות שונות]	לשון_המקרא	tnk1/ljon/jorj/abh.html
אֵבֶה	שם מתואר [= תרגומו "מגדיא", מגדים, שהם דברי חפץ; ולדעת רש"י וראב"ע הוא שם נהר שוטף]	לשון_המקרא	tnk1/ljon/jorj/abh1.html
אבוי!	מילת קריאה [= שם מופשט, או מילת קריאה כמו "אוי"]	לשון_המקרא	tnk1/ljon/jorj/abh3.html
אֵבוס	כלי קיבול	לשון_המקרא	tnk1/ljon/jorj/abs.html
אבח	שורש	לשון_המקרא	tnk1/ljon/jorj/abx.html
אבחה	רגש [= ענינו אימה ופחד, ולפי תרגום יונתן - הריגה]	לשון_המקרא	tnk1/ljon/jorj/abx.html
אבטח	שורש	לשון_המקרא	tnk1/ljon/jorj/abfx.html
אבטיח	פרי [= מין זרעוני גינה]	לשון_המקרא	tnk1/ljon/jorj/abfx.html
אבי	אשה	דמות_מהתנך	tnk1/dmut/dmut/996.html
אבי עד	ביטוי: שם1	לשון_המקרא	tnk1/ljon/jorj/abh2.html#bituy
אביאל	גבר	דמות_מהתנך	tnk1/dmut/dmut/647.html
אביאל	גבר	דמות_מהתנך	tnk1/dmut/dmut/843.html
אביאל	כמה	דמויות_מהתנך	tnk1/dmut/jm/abyal.html
אביאל בן צרור	גבר	דמות_מהתנך	tnk1/dmut/dmut/647.html
אביאל הערבתי	גבר	דמות_מהתנך	tnk1/dmut/dmut/843.html
אביאסף	גבר	דמות_מהתנך	tnk1/dmut/dmut/278.html
אביב	זמן [= תבואה שהבשילה, או הבשלת התבואה]	לשון_המקרא	tnk1/ljon/jorj/abb.html
אביגיל	אשה	דמות_מהתנך	tnk1/dmut/dmut/695.html
אביגל	אשה	דמות_מהתנך	tnk1/dmut/dmut/694.html
אבידה	כשמוצאים אבידה	מצוות_ארוע	tryg/sug/erua_abydh.html
אבידן	גבר	דמות_מהתנך	tnk1/dmut/dmut/412.html
