משלי	א	0	
משלי	א	א	דוד=//{{צ|משלי שלמה}} - ר"ל: אלה הם '''המשלים''' אשר אמר '''שלמה''', כי את התורה המשיל לאשה טובה, והמינות לזונה; וכן ברוב הדברים אחז בדרך משל.
משלי	א	ב	דוד=//{{צ|לדעת}} - תועלת הדברים, '''להודיע''' לבני אדם '''חכמה ומוסר''',////ואחז במשל למען '''הבין''' לזולת '''דברי בינה''', כי הוא מבוא גדול לקנות ההבנה.
משלי	א	ג	דוד=//{{צ|לקחת}} - ללמוד '''מוסר''' {{נוסח|מחוכם|במקור 'מתוכם', ולענ"ד ראוי לתקן כי אחרת אין פירוש למילה 'השכל', בניגוד לדרכו של בעל המצודות לפרש כל מילה}}.////{{צ|צדק}} - היא עבודת האלהים, {{צ|ומשפט}} - מה שבין אדם לחבירו, {{צ|ומשרים}} - בדבר המדות והנהגת האדם.//|ציון=//{{צ|לקחת}} - ענין ידיעה ולימוד, כמו {{צמ|לקח טוב נתתי לכם|משלי ד}}.
משלי	א	ד	דוד=//{{צ|לתת}} - הדברים הנאמרים פה יועילו '''לתת לשוטים התחכמות''' להסיר הפתיות מלבם,////{{צ|לנער}} - למי שהוא רך בשנים, אשר יעשה מעשיו בבלי דעת ובלי מחשבה קדומה,//הדברים ההם יועילו לקנות '''דעת ומחשבה''', ר"ל מעתה יחשוב בדבר עד לא יעשנה.////|ציון=//{{צ|ערמה}} - ענין התחכמות, כמו {{צמ|ערום יערם הוא|שמואל א כג כג}}.////{{צ|ומזמה}} - ענין מחשבה, כמו {{צמ|זממה שדה ותקחהו|משלי לא}}.
משלי	א	ה	דוד=//{{צ|ישמע חכם}} - ר"ל, וגם '''לחכם''' יועילו הדברים, כי '''כשישמעם''' - '''יוסיף''' עוד '''ללמוד''' מדעתו,////'''והנבון יקנה''' על-ידם '''תחבולות''', והם דברים עמוקים בעיון רב בדקות המחשבה.//|ציון=//{{צ|תחבולות}} - ענינו דקות העיון, כמו {{צמ|ובתחבולות עשה מלחמה|משלי כ}}.////{{צ|יקנה}} - מצינו לשון קנין אף אם אין שם מוכר, כמו {{צמ|קונה שמים וארץ|בראשית יד}} ורבים כמוהו.
משלי	א	ו	דוד=//{{צ|להבין משל ומליצה}} - ר"ל הדברים האלה נאמרים על שני דרכים://'''להבין את המשל''' - ר"ל מה שהמשיל אל המליצה, וגם את '''המליצה''' עצמה://כשאומר בהמליצה להשמר מזונה, ואמורה להמשיל על המינות, הנה יש להבין בה להיות נזהר ממינות גם מאשה זונה.////ולתוספת ביאור אמר: '''דברי חכמים וחידותם''', ר"ל הדברים האמורים בפה מלא והרמוזים בדרך חידה.//////|ציון=//{{צ|ומליצה}} - ענינו אמרים צחים המקובלים על הלב.////{{צ|וחידותם}} - ענינו דברים סתומים קשה ההבנה.
משלי	א	ז	דוד=//עתה החל לדבר דבריו, ואמר: {{צמ|יראת ה'...|משלי א ז|מצודות על משלי א ז}} - רוצה לומר, בראשית למוד הדעת יקנה יראת ה', כי הלא {{צ|אוילים}} ורשעים {{צ|בזו את החכמה והמוסר}}, ואם לא יקנה יראת ה' בראשיתה - מה תועלת בלימודה? הלא יבזה אותה וימאס בה.////|ציון=//{{צ|אוילים}} - רוצה לומר רשעים, כי אין אדם עובר עבירה אלא אם כן נכנס בו רוח שטות.
משלי	א	ח	דוד=//{{צ|שמע}} - קבל '''מוסר''' מ'''אביך''', כי בוודאי חפץ הוא בתקנתך.////{{צ|תורת אמך}} - מה שאמך מלמדתך.//|ציון=//{{צ|תטוש}} - ענין עזיבה, כמו {{צמ|כי לא יטוש ה' את עמו|שמואל א יב}}.////{{צ|תורת}} - ענין למוד והוראה.
משלי	א	ט	דוד=//{{צ|כי לוית חן}} - המוסר והלמוד הזה '''הם לראשך''' חבור של '''חן''', ועדי '''ענקים''' סביב '''לצואריך'''.//|ציון=//{{צ|לוית}} - ענין חבור ודבוק, כמו {{צמ|הפעם ילוה אישי|בראשית כט}}.////{{צ|וענקים}} - ענינו עדי הצואר, כמו {{צמ|ולבד מן הענקות|שופטים ח}}.////{{צ|לגרגרותך}} - מלשון גרון וצואר.
