<h1>ארגונים שמחלקים אוכל לנזקקים</h1>						
HEADER:שם	קישור	כתובת	עיר	טלפון	פקס	דואל
"לב ח""ש"	http://levchash.co.il/		חיפה	048672999 ב9:30-13:00 ד16:00-19:00 065256300		
מפעל חיים - כוח לתת - מאיר פנים	http://mifalchaim.org/main.htm		ארץ ישראל	025374005		
תכלית - מזון לנזקקים				1800200606		
שערי מלכא	http://malka.org.il/		ירושלים	1800201717		
האתר העולמי למאבק ברעב - תרומת מזון בקליק אחד	http://thehungersite.com		"האו""ם"			
*לב חם			ארץ ישראל	052471251		
חסדי נעמי	http://www.neomi.org/fishy.asp		"י""ם, בנ""ב, פ""ת"	036777777 *205 053867716		
אורות חסד - אלפי ארוחות חמות לנזקקים	http://chessed.org.il/		ארץ ישראל	025379777		
"חסד בב""ש"			באר-שבע	086441594 050971249		
*מחסני חסד			חיפה	0505247827		
בית התבשיל			בני-ברק	1800350350		
אפי ריפקין			גוש קטיף והדרום	064767066		
יד יששכר ויצחק; על-יד ישיבת כרם ביבנה		מיכאל רוזנברג; העבודה 44	אשדוד			
