"av","bn","kotrt","sdr_bn","sug"
"אדמה חקלאית","חקלאות","מחאות",111,"מחאות"
"אהבת אזרח","אהבת חינם",,60,"דרך"
"אימוץ ילדים","אימוץ אחר",,60,"דרך"
"איש ואשה","איש ואשה","מחאות",111,"מחאות"
"אלילים","אלילות","מחאות",111,"מחאות"
"ארץ ישראל","ארץ ישראל","מחאות נגד מסירת שטחים מארץ ישראל",60,"מחאות"
"ביקורת ותוכחה","0",,60,"אתר"
"ביקורת ותוכחה","כתבו מחאות!","ללמוד איך לכתוב מחאות לאישי ציבור",60,"דרך"
"בעלי תפקידים","ממשל ומנהיגות","מחאות",111,"מחאות"
"בעלי תפקידים","תורה ומדינה","לתקן את השלטון בישראל ברוח התורה",60,"דרך"
"ברכת שם ה'","שם ה'","למחות על ביזוי שם ה'",60,"דרך"
"בשר קודש - חג פסח","קרבן פסח וקטניות","להקריב קרבן פסח בימינו",59,"דרך"
"גניבת נפש","אשפוז כפוי","להיאבק באשפוז הכפוי בבתי החולים הפסיכיאטרים",60,"דרך"
"גניבת נפש","ועדת הסחר בנשים","להיאבק בתופעת הסחר בנשים",60,"דרך"
"גניבת נפש","חטיפת ילדים","להיאבק בחטיפת ילדים על-ידי שירותי הרווחה של מדינת ישראל",60,"דרך"
"גר","פועלים זרים וחמץ","לתת לגויים עניים את החמץ לפני פסח",60,"דרך"
"דיון משפטי","מערכת המשפט","ללמוד על מערכת המשפט במדינת ישראל, כדי לתקן אותה מבפנים",65,"דרך"
"דין רוצח","מות לרוצחים","ללמוד על עונש מוות לרוצחים",55,"דרך"
"החוליות החלשות","מידע פערים","מידע על פערים כלכליים וחברתיים בישראל",60,"אתר"
"החוליות החלשות","פער כלכלי חברתי","מחאות",111,"מחאות"
"חג פסח - פרי האדמה","מצה וחמץ","מחאות",111,"מחאות"
"חג פסח - פרי האדמה","קרבן פסח וקטניות",,61,"מאמר"
"חיי נישואין - איש ואשה","חיי נישואין","מחאות",111,"מחאות"
"טומאת אדם - אישה","טבילה בטבע","טבילה בטבע",60,"דרך"
"טומאת אדם - אישה","טבילת רווקות","טהרה - לא לנשואות בלבד",60,"דרך"
"טומאת אדם - אישה","טהרת האישה","מחאות",111,"מחאות"
"טומאת אדם - אישה","פרטיות בטבילה","טבילה - בלי לעמוד בעירום לפני הבלנית",60,"דרך"
"טומאת אדם - אישה","שבעה נקיים","ריחוק בין איש לנידה - רק 7 ימים בחודש",60,"דרך"
"טקס החתונה","חתונה לא יקרה","חתונות בימי התנך ובימינו",60,"דרך"
"טקס החתונה","חתונה מינימלית","חתונה מינימלית - המינימום שחייב להיות בחתונה כדי שהיא תהיה כשרה",60,"דרך"
"טקס החתונה","טקס החתונה","מחאות",111,"מחאות"
"טקס החתונה","נישואין בסתר","נישואין בסתר",60,"דרך"
"ייחוד ה'","ספר הזוהר","לא להאמין בחלקים מספר הזוהר, שפוגעים באמונת הייחוד",60,"דרך"
"כשפי מוות","אגרות הקודש","לא לשאול ב""אגרות הקודש""",60,"דרך"
"כשפי מוות","מתים - דיון","לא לבקש בקשות מצדיקים בקברים",60,"דרך"
"מוות אדם - אדם מת","היחס למתים","מחאות",111,"מחאות"
"מזון לנזקקים","מאבק ברעב","תרומת מזון בקליק אחד",70,"דרך"
"מלחמה","חוקים למניעת מלחמה","לחשוב שנתיים קדימה - חוקים למניעת מלחמה",60,"דרך"
"מלחמה","שלום ומלחמה","מחאות בנושאים בטחוניים",60,"מחאות"
"מצוות ללא עיוותים","לא תוסיפו","להבחין בין סייגים והחמרות לבין עיקר המצוה",60,"דרך"
"מצוות ללא עיוותים","מדיניות ההיתר","לא להפוך היתרים הלכתיים למדיניות קבועה",60,"דרך"
"מצוות ללא עיוותים","מצוות ללא עיוותים","מחאות",111,"מחאות"
"מתנות","כסף וכלכלה","מחאות",111,"מחאות"
"מתנות חלשים","הגדלת הניידות","צמצום פערים כלכליים ע""י הגדלת הניידות",60,"דרך"
"מתנות חלשים","הל""ב במשפט","פרוייקט הל""ב במשפט - סיוע משפטי בחינם לנזקקים",60,"דרך"
"מתנות חלשים","הקטנת הניידות","צמצום פערים כלכליים ע""י הקטנת הניידות",60,"דרך"
"מתנות חלשים","צדקה באקראי","צדקה באקראי - לקט, שכחה ופאה",60,"דרך"
"מתנות חלשים","תחבורה חינם","תחבורה ציבורית חינם",60,"דרך"
"נשיא","מלוכה","לחדש את המלוכה?",60,"דרך"
"נשיא","נשיאים ומלכים","מחאות",111,"מחאות"
"סוד","מלחמות ה' - דיון",,51,"מאמר"
"סוד","ספר הזוהר","ספר ""מלחמות ה'"", שמתנגד לקטעים מספר הזוהר שיש בהם חשש אלילות",47,"מאמר"
"עבד נכרי","שכירות",,60,"אתר"
